序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
55,pkulaw,法规,地方工作文件,呼和浩特市工业和信息化局关于对呼和浩特市政协十四届四次会议第0338号提案《关于加速首府低空经济发展的提案(流水号2261、22...,呼和浩特市工业和信息化局,,2025-08-19,2025-08-19,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\呼和浩特市工业和信息化局关于对呼和浩特市政协十四届四次会议第0338号提案《关于加速首府低空经济发展的提案(流水号2261、22...(FBMCLI.14.9325915).pdf,https://www.pkulaw.com/lar/033e3d71eeae9205e242d05c5f7c43c8bdfb.html,引证码FBMCLI.14.9325915｜未知位阶/无条文:地方工作文件
56,pkulaw,法规,地方工作文件,呼和浩特市工业和信息化局关于对呼和浩特市第十六届人民代表大会第四次会议第213号建议《关于推动低空经济发展的建议》的答复,呼和浩特市工业和信息化局,,2025-05-19,2025-05-19,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\呼和浩特市工业和信息化局关于对呼和浩特市第十六届人民代表大会第四次会议第213号建议《关于推动低空经济发展的建议》的答复(FBMCLI.14.8742356).pdf,https://www.pkulaw.com/lar/11404c13f52f64542106ad4f2aaed302bdfb.html,引证码FBMCLI.14.8742356｜未知位阶/无条文:地方工作文件
57,pkulaw,法规,地方工作文件,呼和浩特市工业和信息化局关于对呼和浩特市第十六届人民代表大会第四次会议第220号建议《关于呼和浩特市低空经济发展的建议...,呼和浩特市工业和信息化局,,2025-05-19,2025-05-19,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\呼和浩特市工业和信息化局关于对呼和浩特市第十六届人民代表大会第四次会议第220号建议《关于呼和浩特市低空经济发展的建议...(FBMCLI.14.8742472).pdf,https://www.pkulaw.com/lar/8a470e408bfc7e0c93185056a5ccbfc2bdfb.html,引证码FBMCLI.14.8742472｜未知位阶/无条文:地方工作文件
58,pkulaw,法规,地方工作文件,呼和浩特市科学技术局转发关于发布2026年内蒙古自治区科技重大专项氢能、低空经济、人工智能 领域(第一批)项目申报指南的通知,呼和浩特市科学技术局,,2026-03-16,2026-03-16,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\呼和浩特市科学技术局转发关于发布2026年内蒙古自治区科技重大专项氢能、低空经济、人工智能 领域(第一批)项目申报指南的通知(FBMCLI.14.9914298).pdf,https://www.pkulaw.com/lar/9b7887808c6ca6e21fc6fd95c0d24a91bdfb.html,引证码FBMCLI.14.9914298｜有附件｜未知位阶/无条文:地方工作文件
59,pkulaw,法规,地方规范性文件,嘉兴市人民政府办公室关于印发嘉兴市推动低空经济高质量发展实施方案(2024—2027年)的通知,嘉兴市人民政府,嘉政办发〔2024〕23号,2024-09-06,2024-09-06,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\嘉兴市人民政府办公室关于印发嘉兴市推动低空经济高质量发展实施方案(2024—2027年)的通知(FBMCLI.12.8742725).pdf,https://www.pkulaw.com/lar/0cc228c1322f9b91fa7e7e07a48b6fe2bdfb.html,引证码FBMCLI.12.8742725｜规范性文件但非结构化(通知/公告)
60,pkulaw,法规,地方工作文件,四川省农业农村厅关于加快农业领域低空经济发展的通知,四川省农业农村厅,川农发〔2025〕11号,2025-04-18,2025-04-18,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\四川省农业农村厅关于加快农业领域低空经济发展的通知(FBMCLI.14.8712215).pdf,https://www.pkulaw.com/lar/20b2ec269bcb8a8d3baba1f70295f2a0bdfb.html,引证码FBMCLI.14.8712215｜未知位阶/无条文:地方工作文件
61,pkulaw,法规,地方工作文件,四川省科学技术厅关于征集人工智能、低空经济、软件和信息服务、新型显示领域科技攻关需求综合解决方案的通知,四川省科学技术厅,,2025-06-11,2025-06-11,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\四川省科学技术厅关于征集人工智能、低空经济、软件和信息服务、新型显示领域科技攻关需求综合解决方案的通知(FBMCLI.14.8794458).pdf,https://www.pkulaw.com/lar/f5ffd85145007064adeb41a21e889ae6bdfb.html,引证码FBMCLI.14.8794458｜有附件｜行政事务性通知(非规范文本)
62,pkulaw,法规,,四川若干举措支持低空经济“腾飞” 首批11个试点已通过评估,,,,,,,否,pkulaw\raw_pdf\低空经济\低空经济\四川若干举措支持低空经济“腾飞” 首批11个试点已通过评估(FBMCLI.N.132635).pdf,https://www.pkulaw.com/news/bd12cb865198bddcbdfb.html,引证码FBMCLI.N.132635｜未知位阶/无条文:空
63,pkulaw,法规,,国家发展改革委低空司、国家统计局设管司有关负责人就《低空经济及其核心产业统计分类（试行）》答记者问,,,,,,,否,pkulaw\raw_pdf\低空经济\低空经济\国家发展改革委低空司、国家统计局设管司有关负责人就《低空经济及其核心产业统计分类（试行）》答记者问(FBMCLI.N.135354).pdf,https://www.pkulaw.com/news/321b668a135d2b32bdfb.html,引证码FBMCLI.N.135354｜行政事务性通知(非规范文本)
64,pkulaw,法规,部门规范性文件,国家发展改革委关于印发《低空经济及其核心产业统计分类(试行)》的通知,国家发展和改革委员会(含原国家发展计划委员会、原国家计划委员会),发改低空〔2025〕1676号,2025-12-22,2025-12-22,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\国家发展改革委关于印发《低空经济及其核心产业统计分类(试行)》的通知(FBMCLI.4.5332915).pdf,https://www.pkulaw.com/chl/586fd1209022b887bdfb.html,引证码FBMCLI.4.5332915｜有附件｜规范性文件但非结构化(通知/公告)
65,pkulaw,法规,,国家发改委：积极稳妥推动低空经济发展意义重大、前景光明,,,,,,,否,pkulaw\raw_pdf\低空经济\低空经济\国家发改委：积极稳妥推动低空经济发展意义重大、前景光明(FBMCLI.N.129333).pdf,https://www.pkulaw.com/news/cfb60b4564643311bdfb.html,引证码FBMCLI.N.129333｜未知位阶/无条文:空
66,pkulaw,法规,地方工作文件,国家金融监督管理总局广东监管局、中国人民银行广东省分行、广东证监局、国家金融监督管理总局深圳监管局、中国人民银行深圳...,国家金融监督管理总局广东监管局 中国人民银行广东分行 中国证券监督管理委员会广东监管局,粤金发〔2025〕47号,2025-12-15,2025-12-15,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\国家金融监督管理总局广东监管局、中国人民银行广东省分行、广东证监局、国家金融监督管理总局深圳监管局、中国人民银行深圳...(FBMCLI.14.9607270).pdf,https://www.pkulaw.com/lar/10a42370ba121c241eef3236eb788e21bdfb.html,引证码FBMCLI.14.9607270｜未知位阶/无条文:地方工作文件
67,pkulaw,法规,地方工作文件,大连市人民政府办公厅关于印发大连市低空经济高质量发展行动方案(2024―2026年)的通知,大连市人民政府,大政办发〔2024〕40号,2024-12-06,2024-12-06,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\大连市人民政府办公厅关于印发大连市低空经济高质量发展行动方案(2024―2026年)的通知(FBMCLI.14.8189637).pdf,https://www.pkulaw.com/lar/dc50e1a97869d94f070dfa353c3c99fdbdfb.html,引证码FBMCLI.14.8189637｜未知位阶/无条文:地方工作文件
68,pkulaw,法规,地方工作文件,天津市宁河区低空经济高质量发展行动方案(2024—2026年),天津市宁河区人民政府,津宁河政发〔2024〕5号,2024-05-17,2024-05-17,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\天津市宁河区低空经济高质量发展行动方案(2024—2026年)(FBMCLI.14.9150093).pdf,https://www.pkulaw.com/lar/038f5977da4a8663caa6c6a59ab02edcbdfb.html,引证码FBMCLI.14.9150093｜未知位阶/无条文:地方工作文件
69,pkulaw,法规,地方工作文件,太原市人民政府办公室关于印发太原市低空经济高质量发展行动方案(2025—2027年)的通知,太原市人民政府,并政办发〔2025〕17号,2025-11-12,2025-11-12,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\太原市人民政府办公室关于印发太原市低空经济高质量发展行动方案(2025—2027年)的通知(FBMCLI.14.9470990).pdf,https://www.pkulaw.com/lar/0e8c9252361a3d6e33258bed5bc65e5fbdfb.html,引证码FBMCLI.14.9470990｜未知位阶/无条文:地方工作文件
70,pkulaw,法规,地方工作文件,宁波市人民政府办公厅关于印发宁波市低空经济高质量发展实施方案(2025—2027年)的通知,宁波市人民政府,甬政办发〔2025〕29号,2025-07-21,2025-07-21,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\宁波市人民政府办公厅关于印发宁波市低空经济高质量发展实施方案(2025—2027年)的通知(FBMCLI.14.9054220).pdf,https://www.pkulaw.com/lar/fb7a5516b3e21036a3c8231109c74cfabdfb.html,引证码FBMCLI.14.9054220｜未知位阶/无条文:地方工作文件
71,pkulaw,法规,地方工作文件,宁波市农业农村局关于印发《2025年宁波市农业农村领域低空经济发展工作要点》的通知,宁波市农业农村局,甬农发〔2025〕113号,2025-09-01,2025-09-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\宁波市农业农村局关于印发《2025年宁波市农业农村领域低空经济发展工作要点》的通知(FBMCLI.14.9158809).pdf,https://www.pkulaw.com/lar/ae4e090dfaea23373acc393757d852fbbdfb.html,引证码FBMCLI.14.9158809｜未知位阶/无条文:地方工作文件
72,pkulaw,法规,地方工作文件,宁波市科学技术局关于转发《浙江省交通厅浙江省科技厅关于组织申报低空经济重大专项2026年度项目的通知》的通知,宁波市科学技术局,,2025-06-24,2025-06-24,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\宁波市科学技术局关于转发《浙江省交通厅浙江省科技厅关于组织申报低空经济重大专项2026年度项目的通知》的通知(FBMCLI.14.8808661).pdf,https://www.pkulaw.com/lar/40c02517d6bd3296efa023eb60b1f9a9bdfb.html,引证码FBMCLI.14.8808661｜有附件｜未知位阶/无条文:地方工作文件
73,pkulaw,法规,地方工作文件,安徽省发展改革委关于印发安徽省加快培育发展低空经济实施方案(2024—2027年)及若干措施的通知,安徽省发展和改革委员会,皖发改高技〔2024〕160号,2024-04-01,2024-01-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\安徽省发展改革委关于印发安徽省加快培育发展低空经济实施方案(2024—2027年)及若干措施的通知(FBMCLI.14.7444823).pdf,https://www.pkulaw.com/lar/1748774a22be316319f642ae72536899bdfb.html,引证码FBMCLI.14.7444823｜有附件｜未知位阶/无条文:地方工作文件
74,pkulaw,法规,地方工作文件,安徽省发展改革委关于面向全国公开征集低空经济应用场景能力清单的公告,安徽省发展和改革委员会,,2024-08-01,2024-08-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\安徽省发展改革委关于面向全国公开征集低空经济应用场景能力清单的公告(FBMCLI.14.7695957).pdf,https://www.pkulaw.com/lar/d34973d851fbc924020de17ef0f51dc3bdfb.html,引证码FBMCLI.14.7695957｜有附件｜行政事务性通知(非规范文本)
75,pkulaw,法规,地方规范性文件,安阳市人民代表大会常务委员会关于促进低空经济高质量发展的决定,安阳市人大(含常委会),,2025-06-26,2025-06-26,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\安阳市人民代表大会常务委员会关于促进低空经济高质量发展的决定(FBMCLI.12.9220590).pdf,https://www.pkulaw.com/lar/329624459b02ec7d4cfa0af2d9489d77bdfb.html,引证码FBMCLI.12.9220590｜规范性文件但非结构化(通知/公告)
76,pkulaw,法规,地方工作文件,安阳市人民政府办公室关于印发安阳市促进低空经济高质量发展行动方案(2025-2027年)的通知,安阳市人民政府,安政办〔2025〕4号,2025-04-09,2025-04-09,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\安阳市人民政府办公室关于印发安阳市促进低空经济高质量发展行动方案(2025-2027年)的通知(FBMCLI.14.8726132).pdf,https://www.pkulaw.com/lar/32207dcbe58a160918dcbb750b2b676abdfb.html,引证码FBMCLI.14.8726132｜未知位阶/无条文:地方工作文件
77,pkulaw,法规,地方工作文件,山东省人民政府办公厅关于印发《山东省低空经济高质量发展三年行动方案(2025—2027年)》的通知,山东省人民政府,鲁政办发〔2024〕9号,2024-11-02,2024-11-02,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\山东省人民政府办公厅关于印发《山东省低空经济高质量发展三年行动方案(2025—2027年)》的通知(FBMCLI.14.8191999).pdf,https://www.pkulaw.com/lar/049c52f98b54f99bcf548bbfb2355de1bdfb.html,引证码FBMCLI.14.8191999｜未知位阶/无条文:地方工作文件
78,pkulaw,法规,地方工作文件,山东省科学技术厅、中共山东省委组织部、中共山东省委金融委员会办公室、山东省发展和改革委员会、山东省教育厅、山东省工业...,山东省科学技术厅 中共山东省委组织部 中共山东省委金融委员会办公室 山东省发展和改革委员,鲁科字〔2024〕135号,2024-12-06,2024-12-06,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\山东省科学技术厅、中共山东省委组织部、中共山东省委金融委员会办公室、山东省发展和改革委员会、山东省教育厅、山东省工业...(FBMCLI.14.8369731).pdf,https://www.pkulaw.com/lar/6e87bcf550497b376dcd3fe5ae7ca802bdfb.html,引证码FBMCLI.14.8369731｜未知位阶/无条文:地方工作文件
79,pkulaw,法规,地方工作文件,山西省人民政府办公厅关于印发山西省加快低空经济发展和通航示范省建设若干措施的通知,山西省人民政府,晋政办发〔2024〕25号,2024-05-16,2024-01-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\山西省人民政府办公厅关于印发山西省加快低空经济发展和通航示范省建设若干措施的通知(FBMCLI.14.7495574).pdf,https://www.pkulaw.com/lar/360856a20de72cddf33309b65271a719bdfb.html,引证码FBMCLI.14.7495574｜未知位阶/无条文:地方工作文件
80,pkulaw,法规,地方工作文件,山西省市场监督管理局关于专项征集低空经济和通用航空领域省级地方标准项目的通知,山西省市场监督管理局,,2024-08-01,2024-08-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\山西省市场监督管理局关于专项征集低空经济和通用航空领域省级地方标准项目的通知(FBMCLI.14.7698432).pdf,https://www.pkulaw.com/lar/e46ab99829cdee1acac61bd1a338c398bdfb.html,引证码FBMCLI.14.7698432｜有附件｜行政事务性通知(非规范文本)
81,pkulaw,法规,地方工作文件,嵊泗县人民政府办公室关于印发嵊泗县低空经济发展三年行动计划(2025—2027年)的通知,嵊泗县人民政府,嵊政办发〔2025〕18号,2025-04-29,2025-04-29,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\嵊泗县人民政府办公室关于印发嵊泗县低空经济发展三年行动计划(2025—2027年)的通知(FBMCLI.14.8745106).pdf,https://www.pkulaw.com/lar/17f67ae4049d0802e815c90f6bf81fa0bdfb.html,引证码FBMCLI.14.8745106｜未知位阶/无条文:地方工作文件
82,pkulaw,法规,地方工作文件,常州市政府办公室关于印发《常州市低空经济高质量发展三年行动方案(2024—2026年)》的通知,常州市人民政府,常政办发〔2024〕31号,2024-07-11,2024-07-11,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\常州市政府办公室关于印发《常州市低空经济高质量发展三年行动方案(2024—2026年)》的通知(FBMCLI.14.7722531).pdf,https://www.pkulaw.com/lar/c1be4212b56895ab2a39df5f1cbe6fd8bdfb.html,引证码FBMCLI.14.7722531｜未知位阶/无条文:地方工作文件
