序号,来源,类型,效力层级,标题,发布机关,文号,发布日期,施行日期,时效性/现行版本,适用范围,是否已入库,文件路径,来源URL,备注
86,dikongjie,地方规范性文件,地方政府规章/规范性文件,北京市延庆区低空飞行服务管理办法（试行）,北京延庆,,2025-07-19,,有效,,否,raw\dikongjie_html\7606.html,https://dikongjie.com/7606.html,｜30条
87,dikongjie,地方规范性文件,地方政府规章/规范性文件,大连市低空飞行服务管理暂行办法,辽宁大连,,2025-06-16,,有效,,否,raw\dikongjie_html\7240.html,https://dikongjie.com/7240.html,｜28条
88,dikongjie,地方规范性文件,地方政府规章/规范性文件, 共青城市民用无人驾驶航空器公共安全管理办法,江西共青城,,2025-06-03,,有效,,否,raw\dikongjie_html\7121.html,https://dikongjie.com/7121.html,｜16条
89,dikongjie,地方规范性文件,地方政府规章/规范性文件,自贡市低空飞行服务管理办法（试行）,四川自贡,,2025-05-22,,有效,,否,raw\dikongjie_html\6956.html,https://dikongjie.com/6956.html,｜31条
90,dikongjie,地方规范性文件,地方政府规章/规范性文件,绍兴市低空飞行服务保障办法（试行）,浙江绍兴,,2025-05-08,,有效,,否,raw\dikongjie_html\6558.html,https://dikongjie.com/6558.html,｜无第X条(按段chunk)
91,dikongjie,地方规范性文件,地方政府规章/规范性文件,武汉市民用无人驾驶航空器安全管理暂行办法,武汉,,2025-04-28,,有效,,否,raw\dikongjie_html\6429.html,https://dikongjie.com/6429.html,｜24条
92,dikongjie,地方规范性文件,地方规范性文件,广州市低空垂直起降设施场址选择及建设技术指引（试行）,广东广州,,2025-04-01,,有效,,否,raw\dikongjie_html\5875.html,https://dikongjie.com/5875.html,｜无第X条(按段chunk)
93,dikongjie,地方规范性文件,地方政府规章/规范性文件,韶关市升放气球安全管理规定,广东韶关,,2024-12-25,,有效,,否,raw\dikongjie_html\3980.html,https://dikongjie.com/3980.html,｜20条
94,dikongjie,地方规范性文件,地方政府规章/规范性文件,江门市民用无人驾驶航空器公共安全管理办法,广东江门,,2024-12-23,,有效,,否,raw\dikongjie_html\3868.html,https://dikongjie.com/3868.html,｜32条
95,dikongjie,地方规范性文件,地方政府规章/规范性文件,通用机场管理规定,交通运输部,,2024-12-17,,有效,,否,raw\dikongjie_html\3592.html,https://dikongjie.com/3592.html,｜83条
96,dikongjie,地方规范性文件,地方政府规章/规范性文件,苏州市低空飞行服务管理办法（试行）,江苏苏州,,2024-10-18,,有效,,否,raw\dikongjie_html\1603.html,https://dikongjie.com/1603.html,｜23条
97,dikongjie,地方规范性文件,地方政府规章/规范性文件,海南省“低慢小”航空器活动区域管理办法（试行）,海南,,2024-05-20,,有效,,否,raw\dikongjie_html\746.html,https://dikongjie.com/746.html,｜25条
98,pkulaw,法规,地方规范性文件,上海市通信管理局关于印发《上海市信息通信业加快建设低空智联网 助力我市低空经济发展的指导意见》的通知,上海市通信管理局,沪通信管临港〔2024〕6号,2024-08-15,2024-08-15,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\上海市通信管理局关于印发《上海市信息通信业加快建设低空智联网 助力我市低空经济发展的指导意见》的通知(FBMCLI.12.8914536).pdf,https://www.pkulaw.com/lar/cdeadf30bc84691c15705171794d84c5bdfb.html,引证码FBMCLI.12.8914536｜有附件｜规范性文件+结构化
99,pkulaw,案例,司法案例,云疆低空经济（河南）有限公司;刘佳森服务合同纠纷一审民事裁定书,,,,,,,否,pkulaw\raw_pdf\低空经济\低空经济\云疆低空经济（河南）有限公司;刘佳森服务合同纠纷一审民事裁定书(FBMCLI.C.575180584).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f816c3d0ea17556430e6a7de6433d6f,引证码FBMCLI.C.575180584｜司法案例(单独管线)
100,pkulaw,法规,经济特区法规,关于《深圳经济特区低空经济产业促进条例(草案修改一稿征求意见稿)》公开征求意见的公告,深圳市人大(含常委会),,2023-10-10,,,,否,pkulaw\raw_pdf\低空经济\低空经济\关于《深圳经济特区低空经济产业促进条例(草案修改一稿征求意见稿)》公开征求意见的公告(FBMCLI.DL.25978).pdf,https://www.pkulaw.com/protocol/5eb8ac2c800ad2f09bbfa11162391211bdfb.html,引证码FBMCLI.DL.25978｜强效力位阶
101,pkulaw,法规,经济特区法规,关于《深圳经济特区低空经济产业促进条例(草案修改一稿征求意见稿)》的说明,深圳市人大(含常委会),,2023-10-10,,,,否,pkulaw\raw_pdf\低空经济\低空经济\关于《深圳经济特区低空经济产业促进条例(草案修改一稿征求意见稿)》的说明(FBMCLI.DL.25979).pdf,https://www.pkulaw.com/protocol/5eb8ac2c800ad2f0fb22ff8ad7978789bdfb.html,引证码FBMCLI.DL.25979｜强效力位阶
102,pkulaw,法规,地方工作文件,内蒙古自治区科学技术厅关于发布2026年内蒙古自治区科技重大专项氢能、低空经济、人工智能 领域(第一批)项目申报指南的通知,内蒙古自治区科学技术厅,,2026-03-15,2026-03-15,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\内蒙古自治区科学技术厅关于发布2026年内蒙古自治区科技重大专项氢能、低空经济、人工智能 领域(第一批)项目申报指南的通知(FBMCLI.14.9699017).pdf,https://www.pkulaw.com/lar/799620d4dc6ab5d054d9fee99cf2c6e7bdfb.html,引证码FBMCLI.14.9699017｜有附件｜未知位阶但结构化
103,pkulaw,法规,地方规范性文件,合肥市发展改革委、合肥市财政局关于印发《合肥市支持低空经济发展若干政策实施细则》的通知,合肥市发展和改革委员会 合肥市财政局,,2024-11-27,2024-06-20,废止或失效,,否,pkulaw\raw_pdf\低空经济\低空经济\合肥市发展改革委、合肥市财政局关于印发《合肥市支持低空经济发展若干政策实施细则》的通知(FBMCLI.12.8048443).pdf,https://www.pkulaw.com/lar/d6f24b88afee8bb620a3dca327b82136bdfb.html,引证码FBMCLI.12.8048443｜有附件｜规范性文件+结构化
104,pkulaw,法规,地方规范性文件,呼和浩特市人民政府关于促进低空经济高质量发展的实施意见,呼和浩特市人民政府,呼政发〔2025〕8号,2025,2025-02-27,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\呼和浩特市人民政府关于促进低空经济高质量发展的实施意见(FBMCLI.12.10046265).pdf,https://www.pkulaw.com/lar/7e5e8913c3ef805a8e7ada117b5d4187bdfb.html,引证码FBMCLI.12.10046265｜规范性文件+结构化
105,pkulaw,法规,地方规范性文件,四川省人民政府办公厅关于促进低空经济发展的指导意见,四川省人民政府,川办发〔2024〕24号,2024-06-03,2024-06-03,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\四川省人民政府办公厅关于促进低空经济发展的指导意见(FBMCLI.12.7549306).pdf,https://www.pkulaw.com/lar/c9fb08e56b96bb0bb6bf9d190a14dbe7bdfb.html,引证码FBMCLI.12.7549306｜规范性文件+结构化
106,pkulaw,法规,地方规范性文件,天津市宁河区投资促进局关于落实《宁河区促进低空经济高质量发展的八条措施》的通知,天津市宁河区其他机构,津宁投促局发〔2024〕1号,2024-04-30,2024-05-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\天津市宁河区投资促进局关于落实《宁河区促进低空经济高质量发展的八条措施》的通知(FBMCLI.12.9150099).pdf,https://www.pkulaw.com/lar/debf0a24029d87bb289e6cda0b8ee2b2bdfb.html,引证码FBMCLI.12.9150099｜有附件｜规范性文件+结构化
107,pkulaw,法规,地方规范性文件,广州市黄埔区发展和改革局、广州开发区发展改革局关于印发广州开发区(黄埔区)促进低空经济高质量发展的若干措施的通知,广州市黄埔区发展和改革局 广州开发区发展和改革局,穗埔发改规字〔2023〕2号,2023-10-24,2023-10-24,废止或失效,,否,pkulaw\raw_pdf\低空经济\低空经济\广州市黄埔区发展和改革局、广州开发区发展改革局关于印发广州开发区(黄埔区)促进低空经济高质量发展的若干措施的通知(FBMCLI.12.7229411).pdf,https://www.pkulaw.com/lar/0d8d4dc42f7637ac824df5716ac7087abdfb.html,引证码FBMCLI.12.7229411｜规范性文件+结构化
108,pkulaw,法规,地方规范性文件,广州市黄埔区发展改革局、广州开发区发展改革局关于印发广州开发区(黄埔区)促进低空经济高质量发展的若干措施实施细则的通知,广州市黄埔区发展和改革局 广州开发区发展和改革局,穗埔发改规字〔2023〕3号,2023-12-27,2023-12-27,废止或失效,,否,pkulaw\raw_pdf\低空经济\低空经济\广州市黄埔区发展改革局、广州开发区发展改革局关于印发广州开发区(黄埔区)促进低空经济高质量发展的若干措施实施细则的通知(FBMCLI.12.7320514).pdf,https://www.pkulaw.com/lar/1601d8c8f7affc37ea9562d7a42f4b21bdfb.html,引证码FBMCLI.12.7320514｜规范性文件+结构化
109,pkulaw,法规,地方规范性文件,广州开发区发展和改革局、广州市黄埔区发展和改革局关于印发广州开发区(黄埔区)促进低空经济与航空航天高质量发展的若干措施的通知,广州开发区发展和改革局 广州市黄埔区发展和改革局,穗开发改规字〔2025〕2号,2025-06-26,2025-06-26,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\广州开发区发展和改革局、广州市黄埔区发展和改革局关于印发广州开发区(黄埔区)促进低空经济与航空航天高质量发展的若干措施的通知(FBMCLI.12.8812125).pdf,https://www.pkulaw.com/lar/280ae7eb7da5fc7dcef0237daa696413bdfb.html,引证码FBMCLI.12.8812125｜规范性文件+结构化
110,pkulaw,法规,地方规范性文件,扬州市政府办公室关于印发《扬州市低空经济高质量发展实施意见》的通知,扬州市人民政府,扬府办发〔2024〕35号,2024-05-20,2024-05-20,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\扬州市政府办公室关于印发《扬州市低空经济高质量发展实施意见》的通知(FBMCLI.12.7544001).pdf,https://www.pkulaw.com/lar/8268003aa26be4ab8956a7004980fb09bdfb.html,引证码FBMCLI.12.7544001｜规范性文件+结构化
111,pkulaw,法规,地方规范性文件,攀枝花市人民政府办公室关于印发《攀枝花市促进低空经济发展实施意见》的通知,攀枝花市人民政府,攀办规〔2025〕4号,2025-10-20,2025-12-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\攀枝花市人民政府办公室关于印发《攀枝花市促进低空经济发展实施意见》的通知(FBMCLI.12.9470770).pdf,https://www.pkulaw.com/lar/c9bb11c37dd0fd85412948babfa426a7bdfb.html,引证码FBMCLI.12.9470770｜规范性文件+结构化
112,pkulaw,法规,地方规范性文件,新丰县支持低空经济高质量发展若干措施,新丰县人民政府,,,2025,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\新丰县支持低空经济高质量发展若干措施(FBMCLI.12.9143194).pdf,https://www.pkulaw.com/lar/220f23e6310966ecf74cc1dbe85b7314bdfb.html,引证码FBMCLI.12.9143194｜规范性文件+结构化
113,pkulaw,法规,设区的市地方性法规,无锡市人大常委会办公室关于公开征求《无锡市低空经济发展促进条例(草案)》意见的公告,无锡市人大(含常委会),,2025-02-26,,,,否,pkulaw\raw_pdf\低空经济\低空经济\无锡市人大常委会办公室关于公开征求《无锡市低空经济发展促进条例(草案)》意见的公告(FBMCLI.DL.42150).pdf,https://www.pkulaw.com/protocol/436a46258dba38fb925dbba6b11d5a2dbdfb.htm,引证码FBMCLI.DL.42150｜未知位阶但结构化
114,pkulaw,法规,地方规范性文件,昆明市人民政府办公室关于印发昆明市促进低空经济发展的实施意见的通知,昆明市人民政府,昆政办〔2024〕31号,2024-06-27,2024-06-27,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\昆明市人民政府办公室关于印发昆明市促进低空经济发展的实施意见的通知(FBMCLI.12.7571736).pdf,https://www.pkulaw.com/lar/23662b41d9039ef65064b5fa6362b4b5bdfb.html,引证码FBMCLI.12.7571736｜规范性文件+结构化
115,pkulaw,案例,司法案例,最高人民法院发布6起知识产权法庭司法调解典型案例(第一批)之四：上海沃某公司、董某与上海峰某公司专利申请权权属纠纷三案...,,,,,,,否,pkulaw\raw_pdf\低空经济\低空经济\最高人民法院发布6起知识产权法庭司法调解典型案例(第一批)之四：上海沃某公司、董某与上海峰某公司专利申请权权属纠纷三案...(FBMCLI.C.574929078).pdf,https://www.pkulaw.com/pfnl/c7ed112b8012f8168fabdbbc61edf05e2eac67f0676d,引证码FBMCLI.C.574929078｜司法案例(单独管线)
116,pkulaw,法规,地方规范性文件,杭州市萧山区人民政府办公室印发《杭州市萧山区关于推动低空经济高质量发展的若干政策意见》的通知,杭州市萧山区人民政府,萧政办发〔2025〕15号,2025-03-31,2025-05-01,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\杭州市萧山区人民政府办公室印发《杭州市萧山区关于推动低空经济高质量发展的若干政策意见》的通知(FBMCLI.12.8708735).pdf,https://www.pkulaw.com/lar/473fca14298f301ef2f88e02aeaeb8cdbdfb.html,引证码FBMCLI.12.8708735｜规范性文件+结构化
117,pkulaw,法规,地方规范性文件,杭州高新开发区(滨江)管委会、政府关于打造低空经济创新示范区的若干政策意见(试行),杭州高新技术产业开发区管理委员会 杭州市滨江区人民政府,杭高新〔2025〕4号,2025-03-06,2025-04-07,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\杭州高新开发区(滨江)管委会、政府关于打造低空经济创新示范区的若干政策意见(试行)(FBMCLI.12.8689274).pdf,https://www.pkulaw.com/lar/0856572d3621a3615d8946aa9b0e12efbdfb.html,引证码FBMCLI.12.8689274｜规范性文件+结构化
118,pkulaw,法规,地方规范性文件,江苏省政府办公厅关于加快推动低空经济高质量发展的实施意见,江苏省人民政府,苏政办发〔2024〕28号,2024-08-12,2024-08-12,现行有效,,否,pkulaw\raw_pdf\低空经济\低空经济\江苏省政府办公厅关于加快推动低空经济高质量发展的实施意见(FBMCLI.12.7730473).pdf,https://www.pkulaw.com/lar/54cce789a37bcffe45af2273f9cf705bbdfb.html,引证码FBMCLI.12.7730473｜规范性文件+结构化
